,source,dbType,source_type,jobType,run_time,total_objects_count,avg_object_run_time,avg_run_time,max_run_time,min_run_time,std_run_time,avg_table_run_time,max_table_run_time,min_table_run_time
0,FX Rates,oracle,db,raw,2581,169,146.0828,2012.73559322,4843.0,443.0,622.421159329,71.5938814001,879.426315789,43.5693779904
1,FX Rates,oracle,db,hive,42,1,38.0000,68.5119453925,632.0,1.0,56.7723797249,61.0285400785,72.9273504274,49.1297297297
2,FX Rates,oracle,db,raw,2448,169,127.8994,2012.73559322,4843.0,443.0,622.421159329,71.5938814001,879.426315789,43.5693779904
3,EBS North America,oracle,db,hive,927,38,86.0263,1165.72972973,4235.0,564.0,615.313659792,17912.7061818,50080.3571429,32.625
4,EBS North America,oracle,db,raw,11235,38,548.1842,9709.92307692,13453.0,1490.0,2149.4661327,502.728078673,6587.30909091,38.90625
5,NxGen,oracle,db,hive,48,2,41.0000,81.046692607,1812.0,1.0,157.127565213,209.74779463,350.554166667,68.9414225941
6,NxGen,oracle,db,raw,90,2,88.0000,93.9315589354,1592.0,53.0,125.990928035,91.0041666667,91.4541666667,90.5541666667
7,FX Rates,oracle,db,raw,3251,169,186.6391,2012.73559322,4843.0,443.0,622.421159329,71.5938814001,879.426315789,43.5693779904
8,FX Rates,oracle,db,raw,3323,169,193.7692,2012.73559322,4843.0,443.0,622.421159329,71.5938814001,879.426315789,43.5693779904
9,FX Rates,oracle,db,hive,74,1,68.0000,68.5119453925,632.0,1.0,56.7723797249,61.0285400785,72.9273504274,49.1297297297
10,FX Rates,oracle,db,raw,3372,169,178.6864,2012.73559322,4843.0,443.0,622.421159329,71.5938814001,879.426315789,43.5693779904
11,FX Rates,oracle,db,hive,70,1,67.0000,68.5119453925,632.0,1.0,56.7723797249,61.0285400785,72.9273504274,49.1297297297
12,FX Rates,oracle,db,raw,2758,169,159.9763,2012.73559322,4843.0,443.0,622.421159329,71.5938814001,879.426315789,43.5693779904
13,NxGen,oracle,db,hive,42,1,37.0000,81.046692607,1812.0,1.0,157.127565213,209.74779463,350.554166667,68.9414225941
14,NxGen,oracle,db,raw,203,2,145.5000,93.9315589354,1592.0,53.0,125.990928035,91.0041666667,91.4541666667,90.5541666667
15,FX Rates,oracle,db,hive,77,2,64.0000,68.5119453925,632.0,1.0,56.7723797249,61.0285400785,72.9273504274,49.1297297297
16,FX Rates,oracle,db,raw,2841,169,165.3787,2012.73559322,4843.0,443.0,622.421159329,71.5938814001,879.426315789,43.5693779904
17,FX Rates,oracle,db,raw,3432,169,199.4438,2012.73559322,4843.0,443.0,622.421159329,71.5938814001,879.426315789,43.5693779904
18,NxGen,oracle,db,hive,50,2,44.5000,81.046692607,1812.0,1.0,157.127565213,209.74779463,350.554166667,68.9414225941
19,NxGen,oracle,db,raw,83,2,73.5000,93.9315589354,1592.0,53.0,125.990928035,91.0041666667,91.4541666667,90.5541666667
20,Khost,oracle,db,hive,34,4,29.2500,156.959183673,1206.0,31.0,189.090406968,52.6599876698,103.68,29.5
21,Khost,oracle,db,raw,4942,196,148.4847,5789.6875,23597.0,2879.0,3937.32022953,144.865433368,2248.22916667,31.7446808511
22,FX Rates,oracle,db,hive,93,2,82.0000,68.5119453925,632.0,1.0,56.7723797249,61.0285400785,72.9273504274,49.1297297297
23,FX Rates,oracle,db,raw,1627,165,43.2182,2012.73559322,4843.0,443.0,622.421159329,71.5938814001,879.426315789,43.5693779904
24,FX Rates,oracle,db,hive,78,2,71.0000,68.5119453925,632.0,1.0,56.7723797249,61.0285400785,72.9273504274,49.1297297297
25,FX Rates,oracle,db,raw,1620,165,44.0121,2012.73559322,4843.0,443.0,622.421159329,71.5938814001,879.426315789,43.5693779904
26,FX Rates,oracle,db,hive,96,2,77.0000,68.5119453925,632.0,1.0,56.7723797249,61.0285400785,72.9273504274,49.1297297297
27,FX Rates,oracle,db,raw,1684,165,44.7576,2012.73559322,4843.0,443.0,622.421159329,71.5938814001,879.426315789,43.5693779904
28,FX Rates,oracle,db,hive,92,2,81.5000,68.5119453925,632.0,1.0,56.7723797249,61.0285400785,72.9273504274,49.1297297297
29,FX Rates,oracle,db,raw,1546,165,44.7939,2012.73559322,4843.0,443.0,622.421159329,71.5938814001,879.426315789,43.5693779904
30,FX Rates,oracle,db,hive,97,2,81.5000,68.5119453925,632.0,1.0,56.7723797249,61.0285400785,72.9273504274,49.1297297297
31,FX Rates,oracle,db,raw,1500,165,42.9394,2012.73559322,4843.0,443.0,622.421159329,71.5938814001,879.426315789,43.5693779904
32,FX Rates,oracle,db,hive,88,2,76.5000,68.5119453925,632.0,1.0,56.7723797249,61.0285400785,72.9273504274,49.1297297297
33,FX Rates,oracle,db,raw,1871,165,46.9758,2012.73559322,4843.0,443.0,622.421159329,71.5938814001,879.426315789,43.5693779904
34,FX Rates,oracle,db,hive,97,2,78.0000,68.5119453925,632.0,1.0,56.7723797249,61.0285400785,72.9273504274,49.1297297297
35,FX Rates,oracle,db,raw,1607,165,44.3758,2012.73559322,4843.0,443.0,622.421159329,71.5938814001,879.426315789,43.5693779904
36,FX Rates,oracle,db,hive,83,2,76.5000,68.5119453925,632.0,1.0,56.7723797249,61.0285400785,72.9273504274,49.1297297297
37,FX Rates,oracle,db,raw,1662,165,44.9939,2012.73559322,4843.0,443.0,622.421159329,71.5938814001,879.426315789,43.5693779904
38,FX Rates,oracle,db,hive,93,2,88.0000,68.5119453925,632.0,1.0,56.7723797249,61.0285400785,72.9273504274,49.1297297297
39,FX Rates,oracle,db,raw,1669,165,44.9030,2012.73559322,4843.0,443.0,622.421159329,71.5938814001,879.426315789,43.5693779904
40,FX Rates,oracle,db,hive,84,2,77.0000,68.5119453925,632.0,1.0,56.7723797249,61.0285400785,72.9273504274,49.1297297297
41,FX Rates,oracle,db,raw,1713,165,46.6303,2012.73559322,4843.0,443.0,622.421159329,71.5938814001,879.426315789,43.5693779904
42,FX Rates,oracle,db,hive,89,2,77.5000,68.5119453925,632.0,1.0,56.7723797249,61.0285400785,72.9273504274,49.1297297297
43,FX Rates,oracle,db,raw,1615,165,43.9212,2012.73559322,4843.0,443.0,622.421159329,71.5938814001,879.426315789,43.5693779904
44,FX Rates,oracle,db,hive,77,2,71.5000,68.5119453925,632.0,1.0,56.7723797249,61.0285400785,72.9273504274,49.1297297297
45,FX Rates,oracle,db,raw,1659,165,44.7515,2012.73559322,4843.0,443.0,622.421159329,71.5938814001,879.426315789,43.5693779904
46,FX Rates,oracle,db,hive,95,2,84.0000,68.5119453925,632.0,1.0,56.7723797249,61.0285400785,72.9273504274,49.1297297297
47,FX Rates,oracle,db,raw,1676,165,45.3394,2012.73559322,4843.0,443.0,622.421159329,71.5938814001,879.426315789,43.5693779904
48,FX Rates,oracle,db,hive,90,2,80.5000,68.5119453925,632.0,1.0,56.7723797249,61.0285400785,72.9273504274,49.1297297297
49,FX Rates,oracle,db,raw,1683,165,46.0182,2012.73559322,4843.0,443.0,622.421159329,71.5938814001,879.426315789,43.5693779904
50,FX Rates,oracle,db,hive,84,2,73.5000,68.5119453925,632.0,1.0,56.7723797249,61.0285400785,72.9273504274,49.1297297297
51,FX Rates,oracle,db,raw,1685,165,45.5879,2012.73559322,4843.0,443.0,622.421159329,71.5938814001,879.426315789,43.5693779904
