trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.35, 'e': 0.995}",20,0,-177.40761509812233,"{0: 10, 1: 3, 2: 3, 3: 1, 4: 3}",0
2,False,"{'a': 0.35, 'e': 0.99}",25,0,-17.184449132115503,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
3,False,"{'a': 0.35, 'e': 0.985}",35,0,-219.00632738838732,"{0: 18, 1: 8, 2: 5, 3: 0, 4: 4}",0
4,False,"{'a': 0.35, 'e': 0.98}",25,15,-37.510168758133396,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
5,False,"{'a': 0.35, 'e': 0.975}",25,12,-22.9689776645536,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 0}",1
6,False,"{'a': 0.35, 'e': 0.97}",30,0,-134.60208724773926,"{0: 19, 1: 5, 2: 3, 3: 1, 4: 2}",0
7,False,"{'a': 0.35, 'e': 0.965}",20,0,-37.95634090735634,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
8,False,"{'a': 0.35, 'e': 0.96}",30,0,-183.7943431108132,"{0: 16, 1: 5, 2: 6, 3: 0, 4: 3}",0
9,False,"{'a': 0.35, 'e': 0.955}",20,0,-71.9801330983938,"{0: 12, 1: 4, 2: 2, 3: 2, 4: 0}",0
10,False,"{'a': 0.35, 'e': 0.95}",25,0,-88.2450624234699,"{0: 14, 1: 3, 2: 7, 3: 1, 4: 0}",0
11,False,"{'a': 0.35, 'e': 0.945}",25,0,-109.60442891173815,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
12,False,"{'a': 0.35, 'e': 0.94}",25,0,-93.33986021902076,"{0: 13, 1: 3, 2: 9, 3: 0, 4: 0}",0
13,False,"{'a': 0.35, 'e': 0.9349999999999999}",30,0,-147.6595054050234,"{0: 20, 1: 2, 2: 4, 3: 2, 4: 2}",0
14,False,"{'a': 0.35, 'e': 0.9299999999999999}",35,0,-105.7963801203418,"{0: 23, 1: 5, 2: 6, 3: 0, 4: 1}",0
