trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.4, 'e': 0}",20,0,-72.38169788186394,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
2,False,"{'a': 0.4, 'e': 0}",20,0,-73.45772047750815,"{0: 10, 1: 3, 2: 7, 3: 0, 4: 0}",0
3,False,"{'a': 0.4, 'e': 0}",25,0,-144.30722726120575,"{0: 16, 1: 2, 2: 3, 3: 2, 4: 2}",0
4,False,"{'a': 0.4, 'e': 0}",20,0,-217.62303239517144,"{0: 9, 1: 1, 2: 6, 3: 0, 4: 4}",0
5,False,"{'a': 0.4, 'e': 0}",20,0,-149.06046102234166,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
6,False,"{'a': 0.4, 'e': 0}",25,0,-74.27122622141779,"{0: 14, 1: 4, 2: 7, 3: 0, 4: 0}",0
7,False,"{'a': 0.4, 'e': 0}",20,0,-27.71991756665174,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
8,False,"{'a': 0.4, 'e': 0}",30,0,-72.06445735936892,"{0: 18, 1: 6, 2: 6, 3: 0, 4: 0}",0
9,False,"{'a': 0.4, 'e': 0}",20,0,-102.78752015015174,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
10,False,"{'a': 0.4, 'e': 0}",25,0,-203.14832404705385,"{0: 16, 1: 4, 2: 0, 3: 0, 4: 5}",0
11,False,"{'a': 0.4, 'e': 0}",20,0,-114.68975655687868,"{0: 9, 1: 3, 2: 7, 3: 0, 4: 1}",0
12,False,"{'a': 0.4, 'e': 0}",30,0,-43.399122242651764,"{0: 22, 1: 2, 2: 6, 3: 0, 4: 0}",1
13,False,"{'a': 0.4, 'e': 0}",35,15,-87.6131815497813,"{0: 11, 1: 0, 2: 8, 3: 1, 4: 0}",1
14,False,"{'a': 0.4, 'e': 0}",30,0,-164.38048907675474,"{0: 19, 1: 3, 2: 5, 3: 0, 4: 3}",0
15,False,"{'a': 0.4, 'e': 0}",30,22,7.246578064506027,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.4, 'e': 0}",20,0,-41.586666006879334,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
17,False,"{'a': 0.4, 'e': 0}",25,0,-48.84909090944575,"{0: 18, 1: 3, 2: 3, 3: 1, 4: 0}",0
18,False,"{'a': 0.4, 'e': 0}",25,7,-31.142361932062315,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 0}",1
19,False,"{'a': 0.4, 'e': 0}",30,0,-175.45401989670574,"{0: 14, 1: 8, 2: 5, 3: 1, 4: 2}",0
20,False,"{'a': 0.4, 'e': 0}",30,0,-23.611342318718854,"{0: 23, 1: 4, 2: 3, 3: 0, 4: 0}",0
1,True,"{'a': 0.4, 'e': 0}",35,0,-180.3014489894659,"{0: 20, 1: 7, 2: 4, 3: 2, 4: 2}",0
2,True,"{'a': 0.4, 'e': 0}",20,15,1.6407922512572948,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.4, 'e': 0}",20,0,-106.89884614981696,"{0: 13, 1: 0, 2: 4, 3: 2, 4: 1}",0
4,True,"{'a': 0.4, 'e': 0}",20,5,-96.56415512377635,"{0: 8, 1: 4, 2: 1, 3: 0, 4: 2}",1
5,True,"{'a': 0.4, 'e': 0}",20,0,-150.89947718151652,"{0: 9, 1: 3, 2: 5, 3: 1, 4: 2}",0
6,True,"{'a': 0.4, 'e': 0}",20,0,-133.96260386075852,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",1
7,True,"{'a': 0.4, 'e': 0}",25,0,-78.28008443057341,"{0: 15, 1: 1, 2: 9, 3: 0, 4: 0}",0
8,True,"{'a': 0.4, 'e': 0}",20,15,-5.317525666143777,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
9,True,"{'a': 0.4, 'e': 0}",30,0,-150.82874976479113,"{0: 15, 1: 7, 2: 6, 3: 0, 4: 2}",0
10,True,"{'a': 0.4, 'e': 0}",20,0,-48.13264851554348,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
